year,region,country,participants_category,protesterviolence,state_violence
1990,North America,Canada,,0.0,0
1990,North America,Canada,,0.0,0
1990,North America,Canada,,0.0,0
1990,North America,Canada,,1.0,0
1990,North America,Canada,,1.0,0
1990,North America,Canada,,0.0,1
1991,North America,Canada,,0.0,0
1991,North America,Canada,,0.0,0
1992,North America,Canada,,1.0,0
1993,North America,Canada,,0.0,0
1993,North America,Canada,,0.0,0
1994,North America,Canada,,0.0,0
1994,North America,Canada,,0.0,0
1995,North America,Canada,,0.0,0
1995,North America,Canada,,1.0,1
1996,North America,Canada,,0.0,0
1997,North America,Canada,,0.0,0
1997,North America,Canada,,0.0,0
2000,North America,Canada,,1.0,0
2000,North America,Canada,,0.0,0
2000,North America,Canada,,0.0,0
2000,North America,Canada,,1.0,0
2003,North America,Canada,,1.0,0
2005,North America,Canada,,1.0,0
2005,North America,Canada,,0.0,0
2006,North America,Canada,,1.0,0
2007,North America,Canada,,0.0,0
2008,North America,Canada,,1.0,0
2009,North America,Canada,,0.0,0
2009,North America,Canada,,1.0,0
2010,North America,Canada,,1.0,0
2011,North America,Canada,,0.0,0
2012,North America,Canada,,1.0,0
2015,North America,Canada,50-99,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,50-99,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,50-99,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,100-999,0.0,0
2016,North America,Canada,100-999,0.0,0
2017,North America,Canada,50-99,0.0,0
2018,North America,Canada,100-999,0.0,0
2018,North America,Canada,2000-4999,0.0,0
2019,North America,Canada,100-999,0.0,0
2019,North America,Canada,50-99,0.0,0
2019,North America,Canada,50-99,0.0,0
2019,North America,Canada,50-99,0.0,0
2019,North America,Canada,2000-4999,0.0,0
2020,North America,Canada,50-99,0.0,0
1994,North America,Cuba,,1.0,0
1999,North America,Cuba,,0.0,0
2012,North America,Cuba,,0.0,0
2014,North America,Cuba,100-999,0.0,1
2014,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,100-999,0.0,0
2015,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,1
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2016,North America,Cuba,50-99,0.0,0
2017,North America,Cuba,50-99,0.0,0
2017,North America,Cuba,50-99,0.0,0
2019,North America,Cuba,100-999,0.0,0
2019,North America,Cuba,100-999,0.0,0
1990,North America,Haiti,,1.0,1
1990,North America,Haiti,,0.0,0
1991,North America,Haiti,,1.0,1
1991,North America,Haiti,,0.0,0
1991,North America,Haiti,,0.0,1
1992,North America,Haiti,,0.0,0
1992,North America,Haiti,,0.0,1
1993,North America,Haiti,,1.0,0
1993,North America,Haiti,,0.0,0
1993,North America,Haiti,,1.0,0
1993,North America,Haiti,,1.0,0
1993,North America,Haiti,,0.0,0
1994,North America,Haiti,,0.0,0
1994,North America,Haiti,,1.0,1
1994,North America,Haiti,,0.0,1
1994,North America,Haiti,,1.0,0
1994,North America,Haiti,,0.0,0
1994,North America,Haiti,,1.0,1
1994,North America,Haiti,,0.0,0
1994,North America,Haiti,,0.0,1
1994,North America,Haiti,,1.0,0
1994,North America,Haiti,,1.0,1
1995,North America,Haiti,,0.0,0
1995,North America,Haiti,,1.0,0
1996,North America,Haiti,,0.0,0
1997,North America,Haiti,,1.0,0
1997,North America,Haiti,,1.0,0
1997,North America,Haiti,,1.0,1
1997,North America,Haiti,,0.0,0
1998,North America,Haiti,,1.0,1
1998,North America,Haiti,,1.0,0
1998,North America,Haiti,,1.0,0
1999,North America,Haiti,,1.0,0
1999,North America,Haiti,,1.0,0
1999,North America,Haiti,,1.0,1
1999,North America,Haiti,,0.0,0
1999,North America,Haiti,,1.0,1
1999,North America,Haiti,,1.0,0
2000,North America,Haiti,,1.0,0
2000,North America,Haiti,,1.0,0
2000,North America,Haiti,,1.0,0
2000,North America,Haiti,,1.0,0
2001,North America,Haiti,,0.0,0
2002,North America,Haiti,,1.0,0
2002,North America,Haiti,,0.0,0
2002,North America,Haiti,,0.0,0
2002,North America,Haiti,,1.0,0
2003,North America,Haiti,,1.0,1
2003,North America,Haiti,,0.0,1
2004,North America,Haiti,,1.0,0
2004,North America,Haiti,,0.0,0
2004,North America,Haiti,,0.0,0
2004,North America,Haiti,,0.0,0
2004,North America,Haiti,,0.0,0
2004,North America,Haiti,,0.0,0
2004,North America,Haiti,,0.0,1
2004,North America,Haiti,,1.0,1
2005,North America,Haiti,,0.0,1
2005,North America,Haiti,,0.0,0
2006,North America,Haiti,,0.0,0
2006,North America,Haiti,,1.0,0
2006,North America,Haiti,,0.0,0
2006,North America,Haiti,,0.0,0
2007,North America,Haiti,,0.0,0
2008,North America,Haiti,,1.0,0
2008,North America,Haiti,,1.0,0
2008,North America,Haiti,,0.0,0
2010,North America,Haiti,,1.0,0
2010,North America,Haiti,,1.0,0
2010,North America,Haiti,,0.0,0
2010,North America,Haiti,,1.0,0
2011,North America,Haiti,,0.0,1
2011,North America,Haiti,,0.0,0
2012,North America,Haiti,,0.0,0
2012,North America,Haiti,,0.0,0
